地点ID,都道府県,地点名
64127,奈良県,五條
64206,奈良県,上北山
64227,奈良県,風屋
65026,和歌山県,かつらぎ
65036,和歌山県,友ケ島
65042,和歌山県,和歌山
65061,和歌山県,高野山
65121,和歌山県,清水
65162,和歌山県,龍神
65201,和歌山県,川辺
65256,和歌山県,栗栖川
65276,和歌山県,新宮
65306,和歌山県,西川
65356,和歌山県,潮岬
66046,岡山県,上長田
66091,岡山県,千屋
66127,岡山県,奈義
66136,岡山県,今岡
66171,岡山県,久世
66186,岡山県,津山
66221,岡山県,新見
66296,岡山県,福渡
66306,岡山県,和気
66336,岡山県,高梁
66408,岡山県,岡山
66421,岡山県,虫明
66446,岡山県,倉敷
66481,岡山県,笠岡
66501,岡山県,玉野
67016,広島県,高野
67106,広島県,三次
67116,広島県,庄原
67151,広島県,大朝
67191,広島県,油木
67212,広島県,加計
67292,広島県,三入
67316,広島県,世羅
67326,広島県,府中
67376,広島県,東広島
67401,広島県,福山
67421,広島県,廿日市津田
67437,広島県,広島
67461,広島県,竹原
67471,広島県,生口島
67496,広島県,大竹
67511,広島県,呉
67576,広島県,呉市蒲刈
68022,島根県,西郷
68056,島根県,海士
68091,島根県,鹿島
68132,島根県,松江
68156,島根県,出雲
68246,島根県,大田
68261,島根県,掛合
68276,島根県,横田
68306,島根県,赤名
68351,島根県,川本
68376,島根県,浜田
68401,島根県,瑞穂
68431,島根県,弥栄
68462,島根県,益田
68516,島根県,津和野
68541,島根県,吉賀
69006,鳥取県,境
69021,鳥取県,塩津
69041,鳥取県,青谷
69061,鳥取県,岩井
69076,鳥取県,米子
69101,鳥取県,倉吉
69122,鳥取県,鳥取
69246,鳥取県,智頭
69271,鳥取県,茶屋
71066,徳島県,池田
71087,徳島県,穴吹
71106,徳島県,徳島
71191,徳島県,京上
71231,徳島県,蒲生田
71251,徳島県,木頭
71266,徳島県,日和佐
71291,徳島県,海陽
72061,香川県,内海
72086,香川県,高松
72111,香川県,多度津
72121,香川県,滝宮
72146,香川県,引田
72161,香川県,財田
73001,愛媛県,大三島
73076,愛媛県,今治
73126,愛媛県,西条
73141,愛媛県,新居浜
73151,愛媛県,四国中央
73166,愛媛県,松山
73256,愛媛県,長浜
73276,愛媛県,久万
73306,愛媛県,大洲
73341,愛媛県,瀬戸
73406,愛媛県,宇和
73442,愛媛県,宇和島
73446,愛媛県,近永
73516,愛媛県,御荘
74071,高知県,本山
74136,高知県,大栃
74181,高知県,高知
74187,高知県,後免
74271,高知県,安芸
74296,高知県,梼原
74311,高知県,須崎
74361,高知県,窪川
74372,高知県,室戸岬
74381,高知県,江川崎
74436,高知県,佐賀
74447,高知県,宿毛
74456,高知県,中村
74516,高知県,清水
81011,山口県,須佐
81071,山口県,萩
81116,山口県,油谷
81151,山口県,徳佐
81196,山口県,秋吉台
81231,山口県,広瀬
81266,山口県,豊田
81286,山口県,山口
81321,山口県,岩国
81371,山口県,防府
81386,山口県,下松
81397,山口県,玖珂
81428,山口県,下関
81481,山口県,柳井
81486,山口県,安下庄
82046,福岡県,宗像
82056,福岡県,八幡
82101,福岡県,行橋
82136,福岡県,飯塚
82171,福岡県,前原
82182,福岡県,福岡
82191,福岡県,太宰府
82206,福岡県,添田
82261,福岡県,朝倉
82306,福岡県,久留米
82317,福岡県,黒木
82361,福岡県,大牟田
83021,大分県,国見
83051,大分県,中津
83061,大分県,豊後高田
83106,大分県,院内
83121,大分県,杵築
83137,大分県,日田
83191,大分県,玖珠
83201,大分県,湯布院
83216,大分県,大分
83341,大分県,犬飼
83371,大分県,竹田
83401,大分県,佐伯
83431,大分県,宇目
83476,大分県,蒲江
84012,長崎県,鰐浦
84072,長崎県,厳原
84121,長崎県,芦辺
84171,長崎県,平戸
84183,長崎県,松浦
84266,長崎県,佐世保
84341,長崎県,有川
84356,長崎県,大瀬戸
84496,長崎県,長崎
84519,長崎県,雲仙岳
84523,長崎県,島原
84536,長崎県,福江
84561,長崎県,口之津
84596,長崎県,野母崎
85033,佐賀県,唐津
85116,佐賀県,伊万里
85142,佐賀県,佐賀
85161,佐賀県,嬉野
85166,佐賀県,白石
86006,熊本県,鹿北
86066,熊本県,南小国
86086,熊本県,岱明
86101,熊本県,菊池
86111,熊本県,阿蘇乙姫
86141,熊本県,熊本
86161,熊本県,高森
86216,熊本県,三角
86236,熊本県,甲佐
86271,熊本県,松島
86316,熊本県,本渡
86336,熊本県,八代
86451,熊本県,水俣
86467,熊本県,人吉
86477,熊本県,上
86491,熊本県,牛深
87041,宮崎県,高千穂
87066,宮崎県,古江
87071,宮崎県,鞍岡
87141,宮崎県,延岡
87181,宮崎県,日向
87206,宮崎県,神門
87231,宮崎県,西米良
87293,宮崎県,高鍋
87301,宮崎県,加久藤
87331,宮崎県,西都
87352,宮崎県,小林
87376,宮崎県,宮崎
87426,宮崎県,都城
87492,宮崎県,油津
87501,宮崎県,串間
88061,鹿児島県,阿久根
88081,鹿児島県,大口
88107,鹿児島県,さつま柏原
88131,鹿児島県,中甑
88151,鹿児島県,川内
88261,鹿児島県,東市来
88286,鹿児島県,牧之原
88317,鹿児島県,鹿児島
88331,鹿児島県,輝北
88371,鹿児島県,加世田
88406,鹿児島県,志布志
88432,鹿児島県,喜入
88442,鹿児島県,鹿屋
88447,鹿児島県,肝付前田
88466,鹿児島県,枕崎
88486,鹿児島県,指宿
88506,鹿児島県,内之浦
88536,鹿児島県,田代
88612,鹿児島県,種子島
88666,鹿児島県,上中
88686,鹿児島県,屋久島
88706,鹿児島県,尾之間
88736,鹿児島県,中之島
88836,鹿児島県,名瀬
88901,鹿児島県,古仁屋
88956,鹿児島県,伊仙
88971,鹿児島県,沖永良部
